Universe,Decision 1,Value 1,Decision 2,Value 2,Decision 3,Value 3,Decision 4,Value 4,Decision 5,Value 5,Decision 6,Value 6,Decision 7,Value 7
Universe_126,death_outliers,2,damage_outliers,3,femininity_rating,fem_binary,damage_functional,linear,effect_type,femininity * damages + femininity * zwind,year_interaction, + year:damages,model,neg_binomial
Universe_127,death_outliers,2,damage_outliers,3,femininity_rating,fem_binary,damage_functional,linear,effect_type,femininity * damages + femininity * zcat,year_interaction,,model,log_linear
Universe_128,death_outliers,2,damage_outliers,3,femininity_rating,fem_binary,damage_functional,linear,effect_type,femininity * damages + femininity * zcat,year_interaction,,model,neg_binomial
Universe_129,death_outliers,2,damage_outliers,3,femininity_rating,fem_binary,damage_functional,linear,effect_type,femininity * damages + femininity * zcat,year_interaction, + post1979:damages,model,log_linear
Universe_130,death_outliers,2,damage_outliers,3,femininity_rating,fem_binary,damage_functional,linear,effect_type,femininity * damages + femininity * zcat,year_interaction, + post1979:damages,model,neg_binomial
Universe_131,death_outliers,2,damage_outliers,3,femininity_rating,fem_binary,damage_functional,linear,effect_type,femininity * damages + femininity * zcat,year_interaction, + year:damages,model,log_linear
Universe_132,death_outliers,2,damage_outliers,3,femininity_rating,fem_binary,damage_functional,linear,effect_type,femininity * damages + femininity * zcat,year_interaction, + year:damages,model,neg_binomial
Universe_133,death_outliers,2,damage_outliers,3,femininity_rating,fem_binary,damage_functional,linear,effect_type,femininity * damages + femininity * z3,year_interaction,,model,log_linear
Universe_134,death_outliers,2,damage_outliers,3,femininity_rating,fem_binary,damage_functional,linear,effect_type,femininity * damages + femininity * z3,year_interaction,,model,neg_binomial
Universe_135,death_outliers,2,damage_outliers,3,femininity_rating,fem_binary,damage_functional,linear,effect_type,femininity * damages + femininity * z3,year_interaction, + post1979:damages,model,log_linear
Universe_136,death_outliers,2,damage_outliers,3,femininity_rating,fem_binary,damage_functional,linear,effect_type,femininity * damages + femininity * z3,year_interaction, + post1979:damages,model,neg_binomial
Universe_137,death_outliers,2,damage_outliers,3,femininity_rating,fem_binary,damage_functional,linear,effect_type,femininity * damages + femininity * z3,year_interaction, + year:damages,model,log_linear
Universe_138,death_outliers,2,damage_outliers,3,femininity_rating,fem_binary,damage_functional,linear,effect_type,femininity * damages + femininity * z3,year_interaction, + year:damages,model,neg_binomial
Universe_139,death_outliers,2,damage_outliers,3,femininity_rating,fem_binary,damage_functional,linear,effect_type,femininity + damages + z3,year_interaction,,model,log_linear
Universe_140,death_outliers,2,damage_outliers,3,femininity_rating,fem_binary,damage_functional,linear,effect_type,femininity + damages + z3,year_interaction,,model,neg_binomial
Universe_141,death_outliers,2,damage_outliers,3,femininity_rating,fem_binary,damage_functional,linear,effect_type,femininity + damages + z3,year_interaction, + post1979:damages,model,log_linear
Universe_142,death_outliers,2,damage_outliers,3,femininity_rating,fem_binary,damage_functional,linear,effect_type,femininity + damages + z3,year_interaction, + post1979:damages,model,neg_binomial
Universe_143,death_outliers,2,damage_outliers,3,femininity_rating,fem_binary,damage_functional,linear,effect_type,femininity + damages + z3,year_interaction, + year:damages,model,log_linear
Universe_144,death_outliers,2,damage_outliers,3,femininity_rating,fem_binary,damage_functional,linear,effect_type,femininity + damages + z3,year_interaction, + year:damages,model,neg_binomial
Universe_145,death_outliers,2,damage_outliers,2,femininity_rating,fem_likert,damage_functional,ln,effect_type,femininity * damages,year_interaction,,model,log_linear
Universe_146,death_outliers,2,damage_outliers,2,femininity_rating,fem_likert,damage_functional,ln,effect_type,femininity * damages,year_interaction,,model,neg_binomial
Universe_147,death_outliers,2,damage_outliers,2,femininity_rating,fem_likert,damage_functional,ln,effect_type,femininity * damages,year_interaction, + post1979:damages,model,log_linear
Universe_148,death_outliers,2,damage_outliers,2,femininity_rating,fem_likert,damage_functional,ln,effect_type,femininity * damages,year_interaction, + post1979:damages,model,neg_binomial
Universe_149,death_outliers,2,damage_outliers,2,femininity_rating,fem_likert,damage_functional,ln,effect_type,femininity * damages,year_interaction, + year:damages,model,log_linear
Universe_150,death_outliers,2,damage_outliers,2,femininity_rating,fem_likert,damage_functional,ln,effect_type,femininity * damages,year_interaction, + year:damages,model,neg_binomial
Universe_151,death_outliers,2,damage_outliers,2,femininity_rating,fem_likert,damage_functional,ln,effect_type,femininity * damages + femininity * zpressure,year_interaction,,model,log_linear
Universe_152,death_outliers,2,damage_outliers,2,femininity_rating,fem_likert,damage_functional,ln,effect_type,femininity * damages + femininity * zpressure,year_interaction,,model,neg_binomial
